TID;Starttime;Endtime;Activity
1;2024-01-01 00:00:02;2024-01-01 00:00:04;Validating
1;2024-01-01 00:00:04;2024-01-01 00:00:04;Waiting in queue received
2;2024-01-01 00:00:26;2024-01-01 00:00:28;Validating
2;2024-01-01 00:00:28;2024-01-01 00:00:28;Waiting in queue received
3;2024-01-01 00:00:39;2024-01-01 00:00:41;Validating
3;2024-01-01 00:00:41;2024-01-01 00:00:41;Waiting in queue received
4;2024-01-01 00:00:56;2024-01-01 00:00:58;Validating
4;2024-01-01 00:00:58;2024-01-01 00:00:58;Waiting in queue received
5;2024-01-01 00:00:57;2024-01-01 00:00:59;Validating
5;2024-01-01 00:00:59;2024-01-01 00:00:59;Waiting in queue received
6;2024-01-01 00:00:58;2024-01-01 00:01:00;Validating
6;2024-01-01 00:01:00;2024-01-01 00:01:00;Waiting in queue received
7;2024-01-01 00:01:23;2024-01-01 00:01:25;Validating
7;2024-01-01 00:01:25;2024-01-01 00:01:25;Waiting in queue received
8;2024-01-01 00:01:35;2024-01-01 00:01:37;Validating
8;2024-01-01 00:01:37;2024-01-01 00:01:37;Waiting in queue received
9;2024-01-01 00:01:42;2024-01-01 00:01:44;Validating
9;2024-01-01 00:01:44;2024-01-01 00:01:44;Waiting in queue received
10;2024-01-01 00:02:06;2024-01-01 00:02:08;Validating
10;2024-01-01 00:02:08;2024-01-01 00:02:08;Waiting in queue received
11;2024-01-01 00:02:53;2024-01-01 00:02:55;Validating
11;2024-01-01 00:02:55;2024-01-01 00:02:55;Waiting in queue received
12;2024-01-01 00:03:01;2024-01-01 00:03:03;Validating
12;2024-01-01 00:03:03;2024-01-01 00:03:03;Waiting in queue received
13;2024-01-01 00:03:04;2024-01-01 00:03:06;Validating
13;2024-01-01 00:03:06;2024-01-01 00:03:06;Waiting in queue received
14;2024-01-01 00:03:15;2024-01-01 00:03:17;Validating
14;2024-01-01 00:03:17;2024-01-01 00:03:17;Waiting in queue received
15;2024-01-01 00:03:21;2024-01-01 00:03:23;Validating
15;2024-01-01 00:03:23;2024-01-01 00:03:23;Waiting in queue received
16;2024-01-01 00:04:07;2024-01-01 00:04:09;Validating
16;2024-01-01 00:04:09;2024-01-01 00:04:09;Waiting in queue received
17;2024-01-01 00:04:43;2024-01-01 00:04:45;Validating
17;2024-01-01 00:04:45;2024-01-01 00:04:45;Waiting in queue received
18;2024-01-01 00:05:01;2024-01-01 00:05:03;Validating
19;2024-01-01 00:05:01;2024-01-01 00:05:03;Validating
18;2024-01-01 00:05:03;2024-01-01 00:05:03;Waiting in queue received
19;2024-01-01 00:05:03;2024-01-01 00:05:03;Waiting in queue received
20;2024-01-01 00:05:08;2024-01-01 00:05:10;Validating
20;2024-01-01 00:05:10;2024-01-01 00:05:10;Waiting in queue received
21;2024-01-01 00:05:23;2024-01-01 00:05:25;Validating
21;2024-01-01 00:05:25;2024-01-01 00:05:25;Waiting in queue received
22;2024-01-01 00:05:30;2024-01-01 00:05:32;Validating
22;2024-01-01 00:05:32;2024-01-01 00:05:32;Waiting in queue received
23;2024-01-01 00:05:32;2024-01-01 00:05:34;Validating
23;2024-01-01 00:05:34;2024-01-01 00:05:34;Waiting in queue received
24;2024-01-01 00:06:01;2024-01-01 00:06:03;Validating
24;2024-01-01 00:06:03;2024-01-01 00:06:03;Waiting in queue received
25;2024-01-01 00:06:03;2024-01-01 00:06:05;Validating
25;2024-01-01 00:06:05;2024-01-01 00:06:05;Waiting in queue received
26;2024-01-01 00:06:04;2024-01-01 00:06:06;Validating
26;2024-01-01 00:06:06;2024-01-01 00:06:06;Waiting in queue received
27;2024-01-01 00:06:26;2024-01-01 00:06:28;Validating
27;2024-01-01 00:06:28;2024-01-01 00:06:28;Waiting in queue received
28;2024-01-01 00:06:35;2024-01-01 00:06:37;Validating
28;2024-01-01 00:06:37;2024-01-01 00:06:37;Waiting in queue received
29;2024-01-01 00:06:39;2024-01-01 00:06:41;Validating
