TID;Starttime;Endtime;Activity
362;2024-02-26 00:00:00;2024-02-26 00:00:00;Added to queue 1
1094;2024-02-26 00:00:00;2024-02-26 00:00:00;Added to queue 1
2503;2024-02-26 00:00:00;2024-02-26 00:00:00;Added to queue 1
2721;2024-02-26 00:00:00;2024-02-26 00:00:00;Added to queue 1
664;2024-02-26 00:02:00;2024-02-26 00:02:00;Added to queue 1
2914;2024-02-26 00:03:00;2024-02-26 00:03:00;Added to queue 1
291;2024-02-26 00:04:00;2024-02-26 00:04:00;Added to queue 1
1270;2024-02-26 00:04:00;2024-02-26 00:04:00;Added to queue 1
884;2024-02-26 00:05:00;2024-02-26 00:05:00;Added to queue 1
1566;2024-02-26 00:05:00;2024-02-26 00:05:00;Added to queue 1
1662;2024-02-26 00:05:00;2024-02-26 00:05:00;Added to queue 1
1859;2024-02-26 00:05:00;2024-02-26 00:05:00;Added to queue 1
258;2024-02-26 00:07:00;2024-02-26 00:07:00;Added to queue 1
1421;2024-02-26 00:08:00;2024-02-26 00:08:00;Added to queue 1
1127;2024-02-26 00:09:00;2024-02-26 00:09:00;Added to queue 1
1781;2024-02-26 00:09:00;2024-02-26 00:09:00;Added to queue 1
2896;2024-02-26 00:09:00;2024-02-26 00:09:00;Added to queue 1
2172;2024-02-26 00:10:00;2024-02-26 00:10:00;Added to queue 1
2292;2024-02-26 00:10:00;2024-02-26 00:10:00;Added to queue 1
897;2024-02-26 00:11:00;2024-02-26 00:11:00;Added to queue 1
414;2024-02-26 00:12:00;2024-02-26 00:12:00;Added to queue 1
1019;2024-02-26 00:12:00;2024-02-26 00:12:00;Added to queue 1
1103;2024-02-26 00:12:00;2024-02-26 00:12:00;Added to queue 1
2181;2024-02-26 00:12:00;2024-02-26 00:12:00;Added to queue 1
1114;2024-02-26 00:15:00;2024-02-26 00:15:00;Added to queue 1
1773;2024-02-26 00:15:00;2024-02-26 00:15:00;Added to queue 1
2136;2024-02-26 00:15:00;2024-02-26 00:15:00;Added to queue 1
2572;2024-02-26 00:15:00;2024-02-26 00:15:00;Added to queue 1
159;2024-02-26 00:16:00;2024-02-26 00:16:00;Added to queue 1
2515;2024-02-26 00:16:00;2024-02-26 00:16:00;Added to queue 1
1343;2024-02-26 00:17:00;2024-02-26 00:17:00;Added to queue 1
695;2024-02-26 00:18:00;2024-02-26 00:18:00;Added to queue 1
1060;2024-02-26 00:18:00;2024-02-26 00:18:00;Added to queue 1
1552;2024-02-26 00:18:00;2024-02-26 00:18:00;Added to queue 1
1911;2024-02-26 00:18:00;2024-02-26 00:18:00;Added to queue 1
352;2024-02-26 00:20:00;2024-02-26 00:20:00;Added to queue 1
719;2024-02-26 00:20:00;2024-02-26 00:20:00;Added to queue 1
2747;2024-02-26 00:20:00;2024-02-26 00:20:00;Added to queue 1
651;2024-02-26 00:21:00;2024-02-26 00:21:00;Added to queue 1
977;2024-02-26 00:21:00;2024-02-26 00:21:00;Added to queue 1
1218;2024-02-26 00:22:00;2024-02-26 00:22:00;Added to queue 1
2333;2024-02-26 00:22:00;2024-02-26 00:22:00;Added to queue 1
2843;2024-02-26 00:23:00;2024-02-26 00:23:00;Added to queue 1
418;2024-02-26 00:24:00;2024-02-26 00:24:00;Added to queue 1
2610;2024-02-26 00:24:00;2024-02-26 00:24:00;Added to queue 1
2751;2024-02-26 00:24:00;2024-02-26 00:24:00;Added to queue 1
645;2024-02-26 00:25:00;2024-02-26 00:25:00;Added to queue 1
475;2024-02-26 00:26:00;2024-02-26 00:26:00;Added to queue 1
644;2024-02-26 00:26:00;2024-02-26 00:26:00;Added to queue 1
899;2024-02-26 00:26:00;2024-02-26 00:26:00;Added to queue 1
1056;2024-02-26 00:27:00;2024-02-26 00:27:00;Added to queue 1
1836;2024-02-26 00:28:00;2024-02-26 00:28:00;Added to queue 1
2029;2024-02-26 00:28:00;2024-02-26 00:28:00;Added to queue 1
2182;2024-02-26 00:28:00;2024-02-26 00:28:00;Added to queue 1
406;2024-02-26 00:29:00;2024-02-26 00:29:00;Added to queue 1
573;2024-02-26 00:30:00;2024-02-26 00:30:00;Added to queue 1
2851;2024-02-26 00:30:00;2024-02-26 00:30:00;Added to queue 1
548;2024-02-26 00:32:00;2024-02-26 00:32:00;Added to queue 1
677;2024-02-26 00:32:00;2024-02-26 00:32:00;Added to queue 1
1040;2024-02-26 00:32:00;2024-02-26 00:32:00;Added to queue 1
1167;2024-02-26 00:32:00;2024-02-26 00:32:00;Added to queue 1
1989;2024-02-26 00:32:00;2024-02-26 00:32:00;Added to queue 1
1512;2024-02-26 00:33:00;2024-02-26 00:33:00;Added to queue 1
2165;2024-02-26 00:33:00;2024-02-26 00:33:00;Added to queue 1
113;2024-02-26 00:34:00;2024-02-26 00:34:00;Added to queue 1
480;2024-02-26 00:34:00;2024-02-26 00:34:00;Added to queue 1
1253;2024-02-26 00:34:00;2024-02-26 00:34:00;Added to queue 1
476;2024-02-26 00:35:00;2024-02-26 00:35:00;Added to queue 1
661;2024-02-26 00:35:00;2024-02-26 00:35:00;Added to queue 1
2237;2024-02-26 00:35:00;2024-02-26 00:35:00;Added to queue 1
2507;2024-02-26 00:36:00;2024-02-26 00:36:00;Added to queue 1
2201;2024-02-26 00:37:00;2024-02-26 00:37:00;Added to queue 1
618;2024-02-26 00:38:00;2024-02-26 00:38:00;Added to queue 1
